Node{identificator='52_84_37', x='751', y='403', raw='4', id='', cor='-8352428', connected='57_81_14', minorisWay=''}
Node{identificator='19_26_77', x='1266', y='1743', raw='4', id='', cor='-13075026', connected='', minorisWay=''}
Node{identificator='13_29_15', x='1523', y='1647', raw='4', id='', cor='-8168944', connected='', minorisWay=''}
Node{identificator='34_88_33', x='1543', y='1636', raw='4', id='', cor='-9922196', connected='', minorisWay=''}
Node{identificator='80_84_38', x='1562', y='1622', raw='4', id='', cor='-15625710', connected='', minorisWay=''}
Node{identificator='82_99_30', x='1577', y='1603', raw='4', id='', cor='-13219774', connected='', minorisWay=''}
Node{identificator='58_38_55', x='1586', y='1586', raw='4', id='', cor='-15041489', connected='', minorisWay=''}
Node{identificator='61_30_57', x='1594', y='1548', raw='4', id='', cor='-15767587', connected='', minorisWay=''}
Node{identificator='66_53_62', x='1600', y='1512', raw='4', id='', cor='-13381574', connected='', minorisWay=''}
Node{identificator='47_14_90', x='1608', y='1457', raw='4', id='', cor='-13432611', connected='', minorisWay=''}
Node{identificator='10_26_74', x='1619', y='1393', raw='4', id='', cor='-90856', connected='', minorisWay=''}
Node{identificator='44_86_63', x='1632', y='1299', raw='4', id='', cor='-10020241', connected='', minorisWay=''}
Node{identificator='39_34_76', x='1629', y='1254', raw='4', id='', cor='-9135351', connected='', minorisWay=''}
Node{identificator='19_85_61', x='1600', y='1165', raw='4', id='', cor='-12604031', connected='', minorisWay=''}
Node{identificator='43_38_69', x='1551', y='980', raw='4', id='', cor='-15215443', connected='', minorisWay=''}
Node{identificator='11_95_18', x='1549', y='806', raw='4', id='', cor='-2273245', connected='', minorisWay=''}
Node{identificator='22_17_48', x='1524', y='720', raw='4', id='', cor='-6264560', connected='', minorisWay=''}
Node{identificator='38_31_72', x='1518', y='685', raw='4', id='', cor='-10127518', connected='', minorisWay=''}
Node{identificator='83_54_70', x='1518', y='658', raw='4', id='', cor='-10383289', connected='', minorisWay=''}
Node{identificator='32_90_72', x='1563', y='471', raw='4', id='', cor='-9040326', connected='', minorisWay=''}
Node{identificator='22_44_45', x='1591', y='371', raw='4', id='', cor='-3874213', connected='', minorisWay=''}
Node{identificator='68_83_55', x='1614', y='280', raw='4', id='', cor='-10309243', connected='', minorisWay=''}
Node{identificator='18_94_99', x='1629', y='219', raw='4', id='', cor='-5202687', connected='', minorisWay=''}
Node{identificator='10_95_65', x='1632', y='182', raw='4', id='', cor='-7993491', connected='', minorisWay=''}
Node{identificator='21_49_66', x='1643', y='170', raw='4', id='', cor='-2312304', connected='', minorisWay=''}
Node{identificator='78_37_25', x='1655', y='164', raw='4', id='', cor='-229808', connected='', minorisWay=''}
Node{identificator='87_85_18', x='1662', y='171', raw='4', id='', cor='-15842532', connected='', minorisWay=''}
Node{identificator='18_33_89', x='1662', y='183', raw='4', id='', cor='-5071098', connected='', minorisWay=''}
Node{identificator='66_58_93', x='1656', y='193', raw='4', id='', cor='-11108004', connected='', minorisWay=''}
Node{identificator='31_36_98', x='1620', y='200', raw='4', id='', cor='-9882414', connected='', minorisWay=''}
Node{identificator='60_52_65', x='1603', y='203', raw='4', id='', cor='-2468857', connected='', minorisWay=''}
Node{identificator='84_58_68', x='1591', y='199', raw='4', id='', cor='-15483425', connected='', minorisWay=''}
Node{identificator='53_58_95', x='1588', y='194', raw='4', id='', cor='-1995746', connected='', minorisWay=''}
Node{identificator='29_53_93', x='1586', y='178', raw='4', id='', cor='-5752189', connected='', minorisWay=''}
Node{identificator='37_11_76', x='1590', y='169', raw='4', id='', cor='-1737757', connected='', minorisWay=''}
Node{identificator='73_98_56', x='1600', y='166', raw='4', id='', cor='-3389175', connected='', minorisWay=''}
Node{identificator='18_51_80', x='1608', y='170', raw='4', id='', cor='-14112961', connected='', minorisWay=''}
Node{identificator='59_60_35', x='1613', y='178', raw='4', id='', cor='-12011821', connected='', minorisWay=''}
Node{identificator='71_85_15', x='1613', y='216', raw='4', id='', cor='-6894328', connected='', minorisWay=''}
Node{identificator='92_34_88', x='1586', y='327', raw='4', id='', cor='-7107660', connected='', minorisWay=''}
Node{identificator='76_76_53', x='1564', y='351', raw='4', id='', cor='-2652803', connected='', minorisWay=''}
Node{identificator='52_47_75', x='1530', y='366', raw='4', id='', cor='-5219285', connected='', minorisWay=''}
Node{identificator='57_96_17', x='1447', y='403', raw='4', id='', cor='-1000206', connected='', minorisWay=''}
Node{identificator='66_39_63', x='1379', y='351', raw='4', id='', cor='-5402911', connected='', minorisWay=''}
Node{identificator='47_61_29', x='1374', y='345', raw='4', id='', cor='-7524784', connected='', minorisWay=''}
Node{identificator='34_98_49', x='1366', y='346', raw='4', id='', cor='-13788753', connected='', minorisWay=''}
Node{identificator='69_77_50', x='1355', y='348', raw='4', id='', cor='-13978489', connected='', minorisWay=''}
Node{identificator='76_66_82', x='1311', y='348', raw='4', id='', cor='-5508564', connected='', minorisWay=''}
Node{identificator='34_71_45', x='1287', y='347', raw='4', id='', cor='-15817706', connected='', minorisWay=''}
Node{identificator='69_47_63', x='1273', y='345', raw='4', id='', cor='-12361590', connected='', minorisWay=''}
Node{identificator='85_61_40', x='1238', y='331', raw='4', id='', cor='-5621237', connected='', minorisWay=''}
Node{identificator='66_31_76', x='1200', y='308', raw='4', id='', cor='-16032710', connected='', minorisWay=''}
Node{identificator='48_13_58', x='1120', y='263', raw='4', id='', cor='-5472696', connected='', minorisWay=''}
Node{identificator='37_67_51', x='1095', y='246', raw='4', id='', cor='-5464219', connected='', minorisWay=''}
Node{identificator='33_85_86', x='1071', y='231', raw='4', id='', cor='-13373861', connected='', minorisWay=''}
Node{identificator='60_74_57', x='981', y='206', raw='4', id='', cor='-14873014', connected='', minorisWay=''}
Node{identificator='84_61_39', x='68', y='2362', raw='4', id='', cor='-9126420', connected='', minorisWay=''}
Node{identificator='54_84_46', x='59', y='2313', raw='4', id='', cor='-2212142', connected='', minorisWay=''}
Node{identificator='13_79_99', x='36', y='2206', raw='4', id='', cor='-14060901', connected='', minorisWay=''}
Node{identificator='34_10_74', x='71', y='2194', raw='4', id='', cor='-1865674', connected='', minorisWay=''}
Node{identificator='91_11_69', x='95', y='2188', raw='4', id='', cor='-10217079', connected='', minorisWay=''}
Node{identificator='81_98_41', x='87', y='2066', raw='4', id='', cor='-13743394', connected='', minorisWay=''}
Node{identificator='54_18_11', x='81', y='2034', raw='4', id='', cor='-14405381', connected='', minorisWay=''}
Node{identificator='67_96_12', x='125', y='2023', raw='4', id='', cor='-5643983', connected='', minorisWay=''}
Node{identificator='48_89_36', x='175', y='2014', raw='4', id='', cor='-3446944', connected='', minorisWay=''}
Node{identificator='91_30_56', x='169', y='1983', raw='4', id='', cor='-12850783', connected='', minorisWay=''}
Node{identificator='78_29_87', x='163', y='1951', raw='4', id='', cor='-16558881', connected='', minorisWay=''}
Node{identificator='29_83_91', x='156', y='1926', raw='4', id='', cor='-13568592', connected='', minorisWay=''}
Node{identificator='34_74_47', x='149', y='1902', raw='4', id='', cor='-2472753', connected='', minorisWay=''}
Node{identificator='84_22_36', x='147', y='1890', raw='4', id='', cor='-9084164', connected='', minorisWay=''}
Node{identificator='66_44_81', x='-19', y='1602', raw='4', id='', cor='-9187922', connected='', minorisWay=''}
Node{identificator='80_14_99', x='-26', y='1586', raw='4', id='', cor='-2814576', connected='', minorisWay=''}
Node{identificator='22_13_55', x='-27', y='1568', raw='4', id='', cor='-11411932', connected='', minorisWay=''}
Node{identificator='10_12_65', x='-8', y='1561', raw='4', id='', cor='-3253705', connected='', minorisWay=''}
Node{identificator='58_33_75', x='3', y='1558', raw='4', id='', cor='-9006301', connected='', minorisWay=''}
Node{identificator='31_35_17', x='65', y='1559', raw='4', id='', cor='-763577', connected='', minorisWay=''}
Node{identificator='22_61_43', x='92', y='1556', raw='4', id='', cor='-14072525', connected='', minorisWay=''}
Node{identificator='21_92_90', x='111', y='1549', raw='4', id='', cor='-252231', connected='', minorisWay=''}
Node{identificator='20_53_47', x='154', y='1527', raw='4', id='', cor='-8541784', connected='', minorisWay=''}
Node{identificator='80_17_31', x='129', y='1543', raw='4', id='', cor='-5288233', connected='', minorisWay=''}
Node{identificator='10_30_92', x='182', y='1494', raw='4', id='', cor='-12248190', connected='', minorisWay=''}
Node{identificator='54_20_57', x='193', y='1469', raw='4', id='', cor='-15561969', connected='', minorisWay=''}
Node{identificator='78_46_91', x='203', y='1443', raw='4', id='', cor='-10450177', connected='', minorisWay=''}
Node{identificator='55_17_50', x='209', y='1417', raw='4', id='', cor='-11431019', connected='', minorisWay=''}
Node{identificator='99_99_13', x='211', y='1368', raw='4', id='', cor='-886169', connected='', minorisWay=''}
Node{identificator='90_55_45', x='212', y='1346', raw='4', id='', cor='-7060721', connected='', minorisWay=''}
Node{identificator='30_23_82', x='276', y='1204', raw='4', id='', cor='-10297313', connected='', minorisWay=''}
Node{identificator='73_86_60', x='293', y='1186', raw='4', id='', cor='-222351', connected='', minorisWay=''}
Node{identificator='72_93_74', x='319', y='1161', raw='4', id='', cor='-7719930', connected='', minorisWay=''}
Node{identificator='32_85_31', x='416', y='1021', raw='4', id='', cor='-15571215', connected='', minorisWay=''}
Node{identificator='21_19_82', x='537', y='896', raw='4', id='', cor='-14040374', connected='', minorisWay=''}
Node{identificator='20_37_74', x='577', y='883', raw='4', id='', cor='-16375246', connected='', minorisWay=''}
Node{identificator='72_55_27', x='610', y='840', raw='4', id='', cor='-12821300', connected='', minorisWay=''}
Node{identificator='42_35_34', x='624', y='827', raw='4', id='', cor='-416022', connected='', minorisWay=''}
Node{identificator='55_56_55', x='646', y='810', raw='4', id='', cor='-4774083', connected='', minorisWay=''}
Node{identificator='18_74_31', x='669', y='807', raw='4', id='', cor='-16106291', connected='', minorisWay=''}
Node{identificator='92_49_56', x='673', y='818', raw='4', id='', cor='-14602596', connected='', minorisWay=''}
Node{identificator='42_99_84', x='669', y='824', raw='4', id='', cor='-11827294', connected='', minorisWay=''}
Node{identificator='37_36_84', x='640', y='838', raw='4', id='', cor='-4223189', connected='', minorisWay=''}
Node{identificator='21_68_83', x='633', y='832', raw='4', id='', cor='-8177831', connected='', minorisWay=''}
Node{identificator='26_93_89', x='642', y='790', raw='4', id='', cor='-11192866', connected='', minorisWay=''}
Node{identificator='46_62_31', x='650', y='758', raw='4', id='', cor='-5044671', connected='', minorisWay=''}
Node{identificator='29_37_52', x='654', y='707', raw='4', id='', cor='-6284192', connected='', minorisWay=''}
Node{identificator='81_25_99', x='653', y='743', raw='4', id='', cor='-6198664', connected='', minorisWay=''}
Node{identificator='29_70_35', x='636', y='646', raw='4', id='', cor='-9590418', connected='', minorisWay=''}
Node{identificator='44_18_86', x='615', y='581', raw='4', id='', cor='-4869058', connected='', minorisWay=''}
Node{identificator='51_95_25', x='598', y='535', raw='4', id='', cor='-13252297', connected='', minorisWay=''}
Node{identificator='28_59_61', x='599', y='524', raw='4', id='', cor='-15592647', connected='', minorisWay=''}
Node{identificator='33_78_10', x='603', y='516', raw='4', id='', cor='-16730511', connected='', minorisWay=''}
Node{identificator='43_20_66', x='623', y='510', raw='4', id='', cor='-6413790', connected='', minorisWay=''}
Node{identificator='18_16_83', x='658', y='496', raw='4', id='', cor='-10519405', connected='', minorisWay=''}
Node{identificator='19_27_68', x='676', y='490', raw='4', id='', cor='-8604061', connected='', minorisWay=''}
Node{identificator='70_37_73', x='704', y='467', raw='4', id='', cor='-11381188', connected='', minorisWay=''}
Node{identificator='66_28_57', x='687', y='446', raw='4', id='', cor='-10263091', connected='', minorisWay=''}
Node{identificator='11_90_41', x='764', y='470', raw='4', id='', cor='-5240834', connected='', minorisWay=''}
Node{identificator='38_68_48', x='757', y='477', raw='4', id='', cor='-7150085', connected='', minorisWay=''}
Node{identificator='38_40_79', x='740', y='484', raw='4', id='', cor='-15061600', connected='', minorisWay=''}
Node{identificator='77_34_27', x='722', y='516', raw='4', id='', cor='-6635216', connected='', minorisWay=''}
Node{identificator='45_67_93', x='707', y='549', raw='4', id='', cor='-15380172', connected='', minorisWay=''}
Node{identificator='46_91_51', x='772', y='590', raw='4', id='', cor='-261508', connected='', minorisWay=''}
Node{identificator='11_11_61', x='770', y='569', raw='4', id='', cor='-7951817', connected='', minorisWay=''}
Node{identificator='92_73_28', x='759', y='534', raw='4', id='', cor='-8124495', connected='', minorisWay=''}
Node{identificator='99_56_57', x='742', y='514', raw='4', id='', cor='-8517986', connected='', minorisWay=''}
Node{identificator='11_10_61', x='733', y='499', raw='4', id='', cor='-6971458', connected='', minorisWay=''}
Node{identificator='49_29_42', x='773', y='609', raw='4', id='', cor='-13345357', connected='', minorisWay=''}
Node{identificator='57_92_55', x='777', y='634', raw='4', id='', cor='-11293316', connected='', minorisWay=''}
Node{identificator='34_69_63', x='779', y='652', raw='4', id='', cor='-4567546', connected='', minorisWay=''}
Node{identificator='31_11_99', x='767', y='708', raw='4', id='', cor='-585236', connected='', minorisWay=''}
Node{identificator='44_34_40', x='759', y='731', raw='4', id='', cor='-6332743', connected='', minorisWay=''}
Node{identificator='17_59_12', x='748', y='747', raw='4', id='', cor='-4926495', connected='', minorisWay=''}
Node{identificator='84_23_11', x='740', y='759', raw='4', id='', cor='-8314060', connected='', minorisWay=''}
Node{identificator='99_81_19', x='739', y='773', raw='4', id='', cor='-1286902', connected='', minorisWay=''}
Node{identificator='51_78_51', x='733', y='793', raw='4', id='', cor='-2944188', connected='', minorisWay=''}
Node{identificator='37_56_39', x='664', y='795', raw='4', id='', cor='-13751623', connected='', minorisWay=''}
Node{identificator='99_12_30', x='646', y='798', raw='4', id='', cor='-7082452', connected='', minorisWay=''}
Node{identificator='39_11_81', x='629', y='807', raw='4', id='', cor='-3011406', connected='', minorisWay=''}
Node{identificator='63_12_24', x='613', y='817', raw='4', id='', cor='-4552103', connected='', minorisWay=''}
Node{identificator='12_27_73', x='591', y='858', raw='4', id='', cor='-2403019', connected='', minorisWay=''}
Node{identificator='54_37_55', x='579', y='858', raw='4', id='', cor='-11857332', connected='', minorisWay=''}
Node{identificator='95_55_17', x='576', y='849', raw='4', id='', cor='-1219201', connected='', minorisWay=''}
Node{identificator='73_16_61', x='605', y='803', raw='4', id='', cor='-12709514', connected='', minorisWay=''}
Node{identificator='57_58_74', x='614', y='803', raw='4', id='', cor='-4413647', connected='', minorisWay=''}
Node{identificator='43_53_42', x='618', y='811', raw='4', id='', cor='-6677563', connected='', minorisWay=''}
Node{identificator='28_26_41', x='607', y='862', raw='4', id='', cor='-11502232', connected='', minorisWay=''}
Node{identificator='63_33_78', x='608', y='886', raw='4', id='', cor='-3834328', connected='', minorisWay=''}
Node{identificator='35_17_93', x='612', y='907', raw='4', id='', cor='-14874339', connected='', minorisWay=''}
Node{identificator='48_79_71', x='624', y='929', raw='4', id='', cor='-9910391', connected='', minorisWay=''}
Node{identificator='89_53_54', x='641', y='927', raw='4', id='', cor='-6886420', connected='', minorisWay=''}
Node{identificator='51_53_76', x='628', y='904', raw='4', id='', cor='-4319707', connected='', minorisWay=''}
Node{identificator='33_52_41', x='625', y='888', raw='4', id='', cor='-7107219', connected='', minorisWay=''}
Node{identificator='16_34_92', x='624', y='857', raw='4', id='', cor='-16448168', connected='', minorisWay=''}
Node{identificator='55_21_83', x='654', y='977', raw='4', id='', cor='-1823782', connected='', minorisWay=''}
Node{identificator='84_31_72', x='671', y='1016', raw='4', id='', cor='-12429151', connected='', minorisWay=''}
Node{identificator='80_92_81', x='671', y='978', raw='4', id='', cor='-4927501', connected='', minorisWay=''}
Node{identificator='52_51_38', x='688', y='1024', raw='4', id='', cor='-4258076', connected='', minorisWay=''}
Node{identificator='83_47_20', x='688', y='1066', raw='4', id='', cor='-11457433', connected='', minorisWay=''}
Node{identificator='57_92_96', x='684', y='1088', raw='4', id='', cor='-583077', connected='', minorisWay=''}
Node{identificator='37_62_57', x='674', y='1035', raw='4', id='', cor='-3097836', connected='', minorisWay=''}
Node{identificator='29_72_14', x='675', y='1065', raw='4', id='', cor='-5534155', connected='', minorisWay=''}
Node{identificator='34_62_14', x='662', y='1118', raw='4', id='', cor='-13956652', connected='', minorisWay=''}
Node{identificator='81_26_10', x='659', y='1141', raw='4', id='', cor='-1242468', connected='', minorisWay=''}
Node{identificator='61_87_96', x='658', y='1162', raw='4', id='', cor='-16168694', connected='', minorisWay=''}
